DiseaseName_ARD_Paper,MESH_ID,X,Category,Likelihood.disease.is.ageing.related,Name_node,Phenotyping_Algorithms,MESH_Term,All_MESH,All_MESH_Terms,filter_frames,Updated_Term,Search_term
Agranulocytosis,MESH:D000380,Agranulocytosis,Haematological/ Immuunoligcal,High,agranulocytosis,Agranulocytosis,Agranulocytosis,MESH:D009503,Neutropenia,"r'\bneutropenias\b', r'\bneutropenia\b'",added english spelling,"r'\bneutropenias\b', r'\bneutropenia\b', r'\bneutropaenias\b', r'\bneutropaenia\b'"
Agranulocytosis,MESH:D000380,Agranulocytosis,Haematological/ Immuunoligcal,High,agranulocytosis,Agranulocytosis,Agranulocytosis,MESH:D064147,Febrile Neutropenia,"r'\bfebrile neutropenia\b', r'\bfebrile neutropenias\b'",added english spelling,"r'\bfebrile neutropenia\b', r'\bfebrile neutropenias\b', r'\bfebrile neutropaenia\b', r'\bfebrile neutropaenias\b'"
"Anaemia, other",MESH:D000740,Anaemia_other,Haematological/ Immuunoligcal,High,oth_anaemia,Anaemia - other,Anemia,MESH:D012010,"Red-Cell Aplasia, Pure","r'\berythrocyte aplasia\b', r'\bpure red cell aplasia\b', r'\berythrocyte aplasias\b', r'\bpure red cell aplasias\b'",All exploding terms except red cell aplasia covered under anaemia searches,"r'\berythrocyte aplasia\b', r'\bpure red cell aplasia\b', r'\berythrocyte aplasias\b', r'\bpure red cell aplasias\b'"
"Anaemia, other",MESH:D000740,Anaemia_other,Haematological/ Immuunoligcal,High,oth_anaemia,Anaemia - other,Anemia,MESH:D000740,Anemia,"r'\banemias\b', r'\banemia\b'",added english spelling,"r'\banemias\b', r'\banemia\b', r'\banaemias\b', r'\banaemia\b'"
Angiodysplasia of colon,MESH:D016888,Angiodysplasia_of_colon,Digestive,High,angio_colon,Angiodysplasia of colon,Angiodysplasia,MESH:D016888,Angiodysplasia,"r'\bangiodysplasias\b', r'\bangiodysplasia\b'",Add terms related to colon,"r'\bangiodysplasia colon\b', r'\bcolon angiodysplasia\b', r'\bangiodysplasia of colon\b', r'\blarge intestine angiodysplasia\b', r'\bcolonic angiodysplasia\b', r'\bangiodysplasia of large intestine\b', r'\bangiodysplasia malformation of colon\b', r'\btelangiectasia of colon\b', r'\bvascular ectasia of colon\b'"
Anorectal Prolapse,MESH:D012005,Anorectal_Prolapse,Digestive,High,anorectal_prolapse,Anorectal Prolapse,Rectal Prolapse,MESH:D012005,Rectal Prolapse,"r'\banus prolapse\b', r'\brectal prolapse\b', r'\banus prolapses\b', r'\brectal prolapses\b'",added rectal related,"r'\banus prolapse\b', r'\brectal prolapse\b', r'\banus prolapses\b', r'\brectal prolapses\b', r'\banal prolapse\b', r'\banal prolapses\b', r'\banorectal prolapses\b', r'\banorectal prolapse\b', r'\brectum prolapse\b', r'\bprolapsed rectum\b'"
Anterior Uveitis,MESH:D014606,Anterior_Uveitis,Eye,High,ant_uveitis,Anterior Uveitis,"Uveitis, Anterior",MESH:D015863,Iridocyclitis,"r'\bheterochromic cyclitides\b', r'\bheterochromic cyclitis\b', r'\biridocyclitides\b', r'\biridocyclitis\b'",NA,"r'\bheterochromic cyclitides\b', r'\bheterochromic cyclitis\b', r'\biridocyclitides\b', r'\biridocyclitis\b'"
Anterior Uveitis,MESH:D014606,Anterior_Uveitis,Eye,High,ant_uveitis,Anterior Uveitis,"Uveitis, Anterior",MESH:D014606,"Uveitis, Anterior","r'\banterior uveitides\b', r'\banterior uveitis\b'",NA,"r'\banterior uveitides\b', r'\banterior uveitis\b'"
Anterior Uveitis,MESH:D014606,Anterior_Uveitis,Eye,High,ant_uveitis,Anterior Uveitis,"Uveitis, Anterior",MESH:D007500,Iritis,"r'\biritides\b', r'\biritis\b'",NA,"r'\biritides\b', r'\biritis\b'"
Aplastic Anaemia,MESH:D000741,Aplastic_Anaemia,Haematological/ Immuunoligcal,High,aplastic,Aplastic Anaemias,"Anemia, Aplastic",MESH:D005199,Fanconi Anemia,"r'\bfanconi anemia\b', r'\bfanconis anemia\b', r'\bfanconi anemias\b', r'\bcomplementation group a fanconi anemia\b', r'\bestren dameshek variant fa fanconi anemia\b', r'\bestren dameshek variant of fanconi anemia\b', r'\bestren dameshek variant of fanconi pancytopenia\b', r'\bfanconi hypoplastic anemia\b', r'\bfanconi pancytopenia\b', r'\bfanconi panmyelopathy\b'","added English spelling, removed surplus terms","r'\bfanconi anemia\b', r'\bfanconis anemia\b', r'\bfanconi anemias\b', r'\bfanconi hypoplastic anemia\b', r'\bfanconi pancytopenia\b', r'\bfanconi panmyelopathy\b', r'\bfanconi anaemia\b', r'\bfanconis anaemia\b', r'\bfanconi anaemias\b', r'\bfanconi hypoplastic anaemia\b', r'\bfanconi pancytopaenia\b'"
Aplastic Anaemia,MESH:D000741,Aplastic_Anaemia,Haematological/ Immuunoligcal,High,aplastic,Aplastic Anaemias,"Anemia, Aplastic",MESH:D029503,"Anemia, Diamond-Blackfan","r'\bblackfan diamond anemia\b', r'\bcongenital erythroid hypoplastic anemia\b', r'\bdiamond blackfan anemia\b', r'\bdiamond blackfan type anemia\b', r'\bhypoplastic congenital anemia\b', r'\bhypoplastic congenital anemias\b', r'\bchronic congenital aregenerative anemia\b', r'\bblackfan diamond disease\b', r'\binherited erythroblastopenia\b', r'\binherited erythroblastopenias\b', r'\berythrogenesis imperfecta\b', r'\berythrogenesis imperfectas\b', r'\baase smith syndrome ii\b', r'\baase syndrome\b', r'\bblackfan diamond syndrome\b', r'\bchronic congenital agenerative anemia\b', r'\bcongenital hypoplastic anemia of blackfan and diamond\b', r'\bcongenital pure red cell anemia\b', r'\bcongenital pure red cell aplasia\b', r'\bdiamond blackfan anemia 1\b', r'\bpure hereditary red cell aplasia\b'","added English spelling, removed surplus terms","r'\bblackfan diamond anemia\b', r'\bcongenital erythroid hypoplastic anemia\b', r'\bdiamond blackfan anemia\b', r'\bdiamond blackfan type anemia\b', r'\bhypoplastic congenital anemia\b', r'\bhypoplastic congenital anemias\b', r'\bchronic congenital aregenerative anemia\b', r'\bblackfan diamond disease\b', r'\binherited erythroblastopenia\b', r'\binherited erythroblastopenias\b', r'\berythrogenesis imperfecta\b', r'\berythrogenesis imperfectas\b', r'\baase smith syndrome ii\b', r'\baase syndrome\b', r'\bblackfan diamond syndrome\b', r'\bchronic congenital agenerative anemia\b', r'\bcongenital hypoplastic anemia of blackfan and diamond\b', r'\bcongenital pure red cell anemia\b', r'\bcongenital pure red cell aplasia\b', r'\bpure hereditary red cell aplasia\b', r'\bblackfan diamond anaemia\b', r'\bcongenital erythroid hypoplastic anaemia\b', r'\bdiamond blackfan anaemia\b', r'\bdiamond blackfan type anaemia\b', r'\bhypoplastic congenital anaemia\b', r'\bhypoplastic congenital anaemias\b', r'\bchronic congenital aregenerative anaemia\b', r'\binherited erythroblastopaenia\b', r'\binherited erythroblastopaenias\b', r'\bchronic congenital agenerative anaemia\b', r'\bcongenital hypoplastic anaemia of blackfan and diamond\b', r'\bcongenital pure red cell anaemia\b'"
Aplastic Anaemia,MESH:D000741,Aplastic_Anaemia,Haematological/ Immuunoligcal,High,aplastic,Aplastic Anaemias,"Anemia, Aplastic",MESH:D029502,"Anemia, Hypoplastic, Congenital","r'\bcongenital hypoplastic anemia\b', r'\bcongenital hypoplastic anemias\b'",added English spelling,"r'\bcongenital hypoplastic anemia\b', r'\bcongenital hypoplastic anemias\b', r'\bcongenital hypoplastic anaemia\b', r'\bcongenital hypoplastic anaemias\b'"
Aplastic Anaemia,MESH:D000741,Aplastic_Anaemia,Haematological/ Immuunoligcal,High,aplastic,Aplastic Anaemias,"Anemia, Aplastic",MESH:D000741,"Anemia, Aplastic","r'\bhypoplastic anemia\b', r'\baplastic anemias\b', r'\bhypoplastic anemias\b', r'\baplastic anemia\b'",added English spelling,"r'\bhypoplastic anemia\b', r'\baplastic anemias\b', r'\bhypoplastic anemias\b', r'\baplastic anemia\b', r'\bhypoplastic anaemia\b', r'\baplastic anaemias\b', r'\bhypoplastic anaemias\b', r'\baplastic anaemia\b'"
Asbestosis,MESH:D001195,Asbestosis,Respiratory,High,asbestosis,Asbestosis,Asbestosis,MESH:D001195,Asbestosis,"r'\basbestoses\b', r'\bidiopathic interstitial pneumonitis from asbestos exposure\b', r'\bpulmonary fibrosis from asbestos exposure\b', r'\basbestosis\b'",added asbestos pneumoconiosis,"r'\basbestoses\b', r'\bidiopathic interstitial pneumonitis from asbestos exposure\b', r'\bpulmonary fibrosis from asbestos exposure\b', r'\basbestosis\b', r'\basbestos pneumoconiosis\b'"
Aspiration Pneumonitis,MESH:D011015,Aspiration_Pneumonitis,Respiratory,High,asp_pneumo,Aspiration pneumonitis,"Pneumonia, Aspiration",MESH:D011015,"Pneumonia, Aspiration","r'\baspiration pneumonias\b', r'\bacid aspiration syndrome\b', r'\bmendelson syndrome\b', r'\bmendelsons syndrome\b', r'\bacid aspiration syndromes\b', r'\baspiration pneumonia\b', r'\bgastric acid aspiration syndrome\b'",appended aspiration pneumonitis,"r'\baspiration pneumonias\b', r'\bacid aspiration syndrome\b', r'\bmendelson syndrome\b', r'\bmendelsons syndrome\b', r'\bacid aspiration syndromes\b', r'\baspiration pneumonia\b', r'\bgastric acid aspiration syndrome\b', r'\baspiration pneumonitis\b'"
Atrial Fibrillation,MESH:D001281,Atrial_Fibrillation,Cardiovascular,High,af,Atrial Fibrillation and flutter,Atrial Fibrillation,MESH:D001281,Atrial Fibrillation,"r'\bfamilial atrial fibrillation\b', r'\bparoxysmal atrial fibrillation\b', r'\bpersistent atrial fibrillation\b', r'\bfamilial atrial fibrillations\b', r'\bparoxysmal atrial fibrillations\b', r'\bpersistent atrial fibrillations\b', r'\batrial fibrillation\b', r'\bauricular fibrillation\b', r'\batrial fibrillations\b', r'\bauricular fibrillations\b'",removed surplus terms,"r'\batrial fibrillation\b', r'\bauricular fibrillation\b', r'\batrial fibrillations\b', r'\bauricular fibrillations\b'"
Atrial Fibrillation,MESH:D001282,Atrial_Fibrillation,Cardiovascular,High,af,Atrial Fibrillation and flutter,Atrial Flutter,MESH:D001282,Atrial Flutter,"r'\batrial flutter\b', r'\bauricular flutter\b', r'\batrial flutters\b', r'\bauricular flutters\b'",NA,"r'\batrial flutter\b', r'\bauricular flutter\b', r'\batrial flutters\b', r'\bauricular flutters\b'"
"Atrioventricular Block, first degree",MESH:D054537,Atrioventricular_Block_first_degree,Cardiovascular,High,av_block_1,"Atrioventricular block, first degree",Atrioventricular Block,MESH:D054537,Atrioventricular Block,"r'\bav block\b', r'\bav blocks\b', r'\batrioventricular conduction block\b', r'\batrioventricular conduction blocks\b', r'\batrioventricular blocks\b', r'\batrioventricular block\b'","Updated to reflect - first degree, added more terms","r'\bfirst degree av block\b', r'\bfirst degree av blocks\b', r'\bfirst degree a v block\b', r'\bfirst degree a v blocks\b', r'\bfirst degree atrioventricular conduction block\b', r'\bfirst degree atrioventricular conduction blocks\b', r'\bfirst degree atrioventricular blocks\b', r'\bfirst degree atrioventricular block\b', r'\b1st degree av block\b', r'\b1st degree av blocks\b', r'\b1st degree atrioventricular conduction block\b', r'\b1st degree atrioventricular conduction blocks\b', r'\b1st degree atrioventricular blocks\b', r'\b1st degree atrioventricular block\b', r'\b1st degree a v block\b', r'\b1st degree a v blocks\b', r'\bfirst degree heart block\b', r'\bfirst degree heart blocks\b', r'\b1st degree heart block\b', r'\b1st degree heart blocks\b', r'\bprolonged atrioventricular conduction time\b', r'\bprolonged av conduction time\b', r'\bprolonged a v conduction time\b', r'\bfirst degree incomplete atrioventricular block\b', r'\bfirst degree incomplete av block\b', r'\bfirst degree incomplete a v block\b', r'\bfirst degree incomplete heart block\b'"
"Atrioventricular Block, second degree",MESH:D054537,Atrioventricular_Block_second_degree,Cardiovascular,High,av_block_2,"Atrioventricular Block, second degree",Atrioventricular Block,MESH:D054537,Atrioventricular Block,"r'\bav block\b', r'\bav blocks\b', r'\batrioventricular conduction block\b', r'\batrioventricular conduction blocks\b', r'\batrioventricular blocks\b', r'\batrioventricular block\b'","Updated to reflect - second degree, added more terms","r'\bsecond degree av block\b', r'\bsecond degree av blocks\b', r'\bsecond degree atrioventricular conduction block\b', r'\bsecond degree atrioventricular conduction blocks\b', r'\bsecond degree atrioventricular blocks\b', r'\bsecond degree atrioventricular block\b', r'\bsecond degree a v block\b', r'\bsecond degree a v blocks\b', r'\bsecond degree heart block\b', r'\bsecond degree heart blocks\b', r'\bsecond degree incomplete av block\b', r'\bsecond degree incomplete av blocks\b', r'\bsecond degree incomplete atrioventricular conduction block\b', r'\bsecond degree incomplete atrioventricular conduction blocks\b', r'\bsecond degree incomplete atrioventricular blocks\b', r'\bsecond degree incomplete atrioventricular block\b', r'\bsecond degree incomplete a v block\b', r'\bsecond degree incomplete a v blocks\b', r'\bsecond degree incomplete heart block\b', r'\bsecond degree incomplete heart blocks\b', r'\bsecond degree atrioventricular heart block\b', r'\bsecond degree atrioventricular heart blocks\b', r'\b2nd degree av block\b', r'\b2nd degree av blocks\b', r'\b2nd degree atrioventricular conduction block\b', r'\b2nd degree atrioventricular conduction blocks\b', r'\b2nd degree atrioventricular blocks\b', r'\b2nd degree atrioventricular block\b', r'\b2nd degree a v block\b', r'\b2nd degree a v blocks\b', r'\b2nd degree heart block\b', r'\b2nd degree heart blocks\b', r'\b2nd degree incomplete av block\b', r'\b2nd degree incomplete av blocks\b', r'\b2nd degree incomplete atrioventricular conduction block\b', r'\b2nd degree incomplete atrioventricular conduction blocks\b', r'\b2nd degree incomplete atrioventricular blocks\b', r'\b2nd degree incomplete atrioventricular block\b', r'\b2nd degree incomplete a v block\b', r'\b2nd degree incomplete a v blocks\b', r'\b2nd degree incomplete heart block\b', r'\b2nd degree incomplete heart blocks\b', r'\b2nd degree atrioventricular heart block\b', r'\b2nd degree atrioventricular heart blocks\b'"
"Atrioventricular Block, third degree",MESH:D054537,Atrioventricular_Block_third_degree,Cardiovascular,High,av_block_3,"Atrioventricular block, third degree",Atrioventricular Block,MESH:D054537,Atrioventricular Block,"r'\bav block\b', r'\bav blocks\b', r'\batrioventricular conduction block\b', r'\batrioventricular conduction blocks\b', r'\batrioventricular blocks\b', r'\batrioventricular block\b'","Updated to reflect - third degree, added more terms","r'\bthird degree av block\b', r'\bthird degree av blocks\b', r'\bthird degree atrioventricular conduction block\b', r'\bthird degree atrioventricular conduction blocks\b', r'\bthird degree atrioventricular blocks\b', r'\bthird degree atrioventricular block\b', r'\bcomplete heart block\b', r'\bcomplete heart blocks\b', r'\bcomplete av block\b', r'\bcomplete av blocks\b', r'\bcomplete atrioventricular block\b', r'\bcomplete atrioventricular blocks\b', r'\bcomplete a v block\b', r'\bcomplete a v blocks\b', r'\bthird degree heart block\b', r'\bthird degree heart blocks\b', r'\bthird degree block\b', r'\bthird degree blocks\b', r'\bhigh grade atrioventricular block\b', r'\bhigh grade atrioventricular blocks\b', r'\bhigh grade av block\b', r'\bhigh grade av blocks\b', r'\bhigh grade a v block\b', r'\bhigh grade a v blocks\b', r'\bthird degree a v block\b', r'\bthird degree a v blocks\b', r'\bthird degree atrioventricular heart block\b', r'\bthird degree atrioventricular heart blocks\b', r'\b3rd degree av block\b', r'\b3rd degree av blocks\b', r'\b3rd degree atrioventricular conduction block\b', r'\b3rd degree atrioventricular conduction blocks\b', r'\b3rd degree atrioventricular blocks\b', r'\b3rd degree atrioventricular block\b', r'\b3rd degree heart block\b', r'\b3rd degree heart blocks\b', r'\b3rd degree block\b', r'\b3rd degree blocks\b', r'\b3rd degree a v block\b', r'\b3rd degree a v blocks\b', r'\b3rd degree atrioventricular heart block\b', r'\b3rd degree atrioventricular heart blocks\b'"
Autoimmune liver disease,MESH:D019693,Autoimmune_liver_disease,Digestive,High,autoimm_liver,Autoimmune liver disease,"Hepatitis, Autoimmune",MESH:D019693,"Hepatitis, Autoimmune","r'\bautoimmune chronic hepatitides\b', r'\bautoimmune chronic hepatitis\b', r'\bautoimmune hepatitides\b', r'\bautoimmune hepatitis\b'",NA,"r'\bautoimmune chronic hepatitides\b', r'\bautoimmune chronic hepatitis\b', r'\bautoimmune hepatitides\b', r'\bautoimmune hepatitis\b'"
Autonomic Neuropathy,UMLS:C0259749,Autonomic_Neuropathy,Neurological,High,autonomic_neuro,Autonomic Neuropathy,Autonomic Neuropathy,UMLS:C0259749,Autonomic Neuropathy,NA,Added UMLS terms,"r'\bautonomic neuropathy\b', r'\bautonomic neuropathies\b', r'\bsympathetic neuropathy\b', r'\bsympathetic neuropathies\b', r'\bparasympathetic neuropathy\b', r'\bparasympathetic neuropathies\b'"
Bacterial Infection,MESH:D001424,Bacterial_Infection,Infections,High,id_bacterial,Bacterial infections,Bacterial Infections,MESH:D016470,Bacteremia,"r'\bresistance to bacteremia\b', r'\bbacteremias\b', r'\bbacteremia\b'","removed 'resistance to...', added english spelling","r'\bbacteremias\b', r'\bbacteremia\b', r'\bbacteraemias\b', r'\bbacteraemia\b'"
Bacterial Infection,MESH:D001424,Bacterial_Infection,Infections,High,id_bacterial,Bacterial infections,Bacterial Infections,MESH:D001424,Bacterial Infections,"r'\bbacterial infection\b', r'\bbacterial infections\b'",NA,"r'\bbacterial infection\b', r'\bbacterial infections\b'"
Barrett's Oesophagus,MESH:D001471,Barretts_Oesophagus,Digestive,High,barretts,Barrett's Oesophagus ,Barrett Esophagus,MESH:D001471,Barrett Esophagus,"r'\bbarrett epithelium\b', r'\bbarrett esophagus\b', r'\bbarretts esophagus\b', r'\bbarrett metaplasia\b', r'\bbarrett metaplasias\b', r'\bbarrett metaplasia adenocarcinoma of esophagus\b', r'\bbarretts syndrome\b', r'\bbarrett syndrome\b'",added english spelling,"r'\bbarrett epithelium\b', r'\bbarrett esophagus\b', r'\bbarretts esophagus\b', r'\bbarrett metaplasia\b', r'\bbarrett metaplasias\b', r'\bbarrett metaplasia adenocarcinoma of esophagus\b', r'\bbarretts syndrome\b', r'\bbarrett syndrome\b', r'\bbarrett oesophagus\b', r'\bbarretts oesophagus\b', r'\bbarrett metaplasia adenocarcinoma of oesophagus\b'"
Bell's Palsy,MESH:D020330,Bells_Palsy,Neurological,High,bells,Bell's palsy,Bell Palsy,MESH:D020330,Bell Palsy,"r'\bidiopathic acute facial neuropathy\b', r'\bherpetic facial paralyses\b', r'\bidiopathic facial paralyses\b', r'\bherpetic facial paralysis\b', r'\bidiopathic facial paralysis\b', r'\bacute inflammatory facial neuropathy\b', r'\bbell palsies\b', r'\bbells palsies\b', r'\bbell palsy\b', r'\bbells palsy\b', r'\bacute idiopathic facial neuropathy\b'",NA,"r'\bidiopathic acute facial neuropathy\b', r'\bherpetic facial paralyses\b', r'\bidiopathic facial paralyses\b', r'\bherpetic facial paralysis\b', r'\bidiopathic facial paralysis\b', r'\bacute inflammatory facial neuropathy\b', r'\bbell palsies\b', r'\bbells palsies\b', r'\bbell palsy\b', r'\bbells palsy\b', r'\bacute idiopathic facial neuropathy\b'"
"Benign Neoplasm, Brain",MESH:D001932,Benign_Neoplasm_Brain,Benign Neoplasm,High,benign_brain,Benign neoplasm - Brain,Brain Neoplasms,MESH:D001932,Brain Neoplasms,"r'\bbrain benign neoplasm\b', r'\bbrain benign neoplasms\b', r'\bbenign brain neoplasm\b', r'\bmalignant brain neoplasm\b', r'\bprimary brain neoplasm\b', r'\bbenign brain neoplasms\b', r'\bmalignant brain neoplasms\b', r'\bprimary brain neoplasms\b', r'\bprimary malignant brain neoplasms\b', r'\bprimary brain tumor\b', r'\brecurrent brain tumor\b', r'\bprimary brain tumors\b', r'\brecurrent brain tumors\b', r'\bbrain cancer\b', r'\bbrain cancers\b', r'\bbrain malignant neoplasm\b', r'\bbrain malignant neoplasms\b', r'\bbrain neoplasm\b', r'\bintracranial neoplasm\b', r'\bbrain neoplasms\b', r'\bintracranial neoplasms\b', r'\bbrain tumor\b', r'\bbrain tumors\b', r'\bcancer of brain\b', r'\bcancer of the brain\b', r'\bmalignant primary brain neoplasms\b', r'\bmalignant primary brain tumors\b', r'\bprimary malignant brain tumors\b'","Updated to reflect - benign, added english spelling, added more synonyms","r'\bbenign brain neoplasm\b', r'\bbenign brain neoplasms\b', r'\bbenign brain tumor\b', r'\bbenign brain tumors\b', r'\bbenign brain tumours\b', r'\bbenign brain tumour\b', r'\bbenign intracranial neoplasm\b', r'\bbenign intracranial neoplasms\b', r'\bbenign neoplasm of brain\b', r'\bbenign tumor of brain\b', r'\bbenign tumour of brain\b', r'\bbenign neoplasm of brain\b', r'\bbenign neoplasms of brain\b', r'\bbenign tumors of brain\b', r'\bbenign tumours of brain\b', r'\bbenign tumor of the brain\b', r'\bbenign tumour of the brain\b', r'\bbenign neoplasm of the brain\b', r'\bbenign neoplasms of the brain\b', r'\bbenign tumors of the brain\b', r'\bbenign tumours of the brain\b'"
"Benign Neoplasm, Colon",MESH:D003110,Benign_Neoplasm_Colon,Benign Neoplasm,High,benign_colon,Benign Neoplasm - Colon,Colonic Neoplasms,MESH:D003110,Colonic Neoplasms,"r'\bcolon cancer\b', r'\bcolonic cancer\b', r'\bcolon cancers\b', r'\bcolonic cancers\b', r'\bcolon neoplasm\b', r'\bcolonic neoplasm\b', r'\bcolon neoplasms\b', r'\bcolonic neoplasms\b', r'\bcancer of colon\b', r'\bcancer of the colon\b'","Updated to reflect - benign, added english spelling","r'\bbenign tumor of colon\b', r'\bbenign tumour of the colon\b', r'\bbenign neoplasm of colon\b', r'\bbenign colonic neoplasms\b', r'\bbenign colonic tumor\b', r'\bbenign colonic tumour\b', r'\bbenign colonic neoplasm\b', r'\bbenign colonic tumors\b', r'\bbenign colonic tumours\b', r'\bbenign colon neoplasm\b', r'\bbenign colon neoplasms\b', r'\bbenign colon tumor\b', r'\bbenign colon tumors\b', r'\bbenign colon tumours\b', r'\bbenign colon tumour\b', r'\bbenign tumour of the colon\b', r'\bbenign neoplasms of colon\b', r'\bbenign colonic tumour\b', r'\bbenign colonic tumors\b', r'\bbenign colon tumours\b', r'\bbenign colon tumour\b', r'\bbenign neoplasm of the colon\b', r'\bbenign tumor of the colon\b', r'\bbenign tumour of the colon\b', r'\bbenign neoplasms of the colon\b', r'\bbenign tumors of the colon\b', r'\bbenign tumours of the colon\b'"
"Benign Neoplasm, Colon",MESH:D003110,Benign_Neoplasm_Colon,Benign Neoplasm,High,benign_colon,Benign Neoplasm - Colon,Colonic Neoplasms,MESH:D012811,Sigmoid Neoplasms,"r'\bsigmoid cancer\b', r'\bsigmoid colon cancer\b', r'\bsigmoid colon neoplasms\b', r'\bsigmoid neoplasm\b', r'\bsigmoid colon neoplasm\b', r'\bsigmoid neoplasms\b', r'\bcancer of sigmoid\b', r'\bcancer of the sigmoid\b', r'\bsigmoidal cancer\b'","Updated to reflect - benign, added english spelling","r'\bbenign sigmoid colon neoplasms\b', r'\bbenign sigmoid neoplasm\b', r'\bbenign sigmoid colon neoplasm\b', r'\bbenign sigmoid neoplasms\b', r'\bbenign tumor of sigmoid\b', r'\bbenign tumor of the sigmoid\b', r'\bbenign sigmoidal tumor\b', r'\bbenign tumour of sigmoid\b', r'\bbenign tumour of the sigmoid\b', r'\bbenign sigmoidal tumour\b'"
