"","All_MESH","filter_frames","DiseaseName_ARD_Paper","MESH_ID","Category","Likelihood.disease.is.ageing.related","Name_node","Phenotyping_Algorithms","MESH_Term","All_MESH_Terms"
"526","MESH:D054062","r'\bprelingual deaf blind disorder\b', r'\bprelingual deaf blind disorders\b', r'\bprelingual deafness blindnesses\b', r'\bprelingual deafness blindness\b', r'\bblind deaf disorder\b', r'\bdeaf blind disorder\b', r'\bdeaf blindness disorder\b', r'\bdeaf mutism blind disorder\b', r'\bblind deaf disorders\b', r'\bdeaf blind disorders\b', r'\bdeaf blindness disorders\b', r'\bdeaf mutism blind disorders\b', r'\bdeaf blind syndrome\b', r'\bdeaf blind syndromes\b', r'\bblindness deafness\b', r'\bdeafness blindness\b', r'\bhearing and vision loss\b', r'\bvision and hearing loss\b'","Blindness","MESH:D001766","Eye","High","blind","Blindness","Blindness","Deaf-Blind Disorders"
"61","MESH:D001987","r'\bbronchiectases\b', r'\bbronchiectasis\b'","Bronchiectasis","MESH:D001987","Respiratory","High","bronchiectasis","Bronchiectasis","Bronchiectasis","Bronchiectasis"
"200","MESH:D007619","r'\bpolynesian bronchiectasis\b', r'\bkartagener syndrome\b', r'\bkartageners syndrome\b', r'\bsiewert syndrome\b', r'\bkartageners triad\b', r'\bkartagener triad\b', r'\bpolynesian bronchiectases\b', r'\bpolynesian bronchiectasis kartagener syndrome\b'","Bronchiectasis","MESH:D001987","Respiratory","High","bronchiectasis","Bronchiectasis","Bronchiectasis","Kartagener Syndrome"
"77","MESH:D002313","r'\brestrictive cardiomyopathies\b', r'\brestrictive cardiomyopathy\b', r'\bfamilial restrictive cardiomyopathy\b'","Cardiomyopathy, other","MESH:D009202","Cardiovascular","High","cardiomyo_oth","Cardiomyopathy - other","Cardiomyopathies","Cardiomyopathy, Restrictive"
"124","MESH:D004719","r'\bendomyocardial fibroses\b', r'\bendomyocardial fibrosis\b'","Cardiomyopathy, other","MESH:D009202","Cardiovascular","High","cardiomyo_oth","Cardiomyopathy - other","Cardiomyopathies","Endomyocardial Fibrosis"
"248","MESH:D009202","r'\bprimary cardiomyopathies\b', r'\bsecondary cardiomyopathies\b', r'\bprimary cardiomyopathy\b', r'\bsecondary cardiomyopathy\b', r'\bmyocardial disease\b', r'\bprimary myocardial disease\b', r'\bsecondary myocardial disease\b', r'\bmyocardial diseases\b', r'\bprimary myocardial diseases\b', r'\bsecondary myocardial diseases\b', r'\bcardiomyopathy\b', r'\bmyocardiopathies\b', r'\bmyocardiopathy\b', r'\bcardiomyopathies\b'","Cardiomyopathy, other","MESH:D009202","Cardiovascular","High","cardiomyo_oth","Cardiomyopathy - other","Cardiomyopathies","Cardiomyopathies"
"470","MESH:D019571","r'\barrhythmogenic right ventricular dysplasia\b', r'\barrhythmogenic right ventricular cardiomyopathy\b', r'\barrhythmogenic right ventricular cardiomyopathy dysplasia\b', r'\barrhythmogenic right ventricular dysplasia cardiomyopathy\b'","Cardiomyopathy, other","MESH:D009202","Cardiovascular","High","cardiomyo_oth","Cardiomyopathy - other","Cardiomyopathies","Arrhythmogenic Right Ventricular Dysplasia"
"78","MESH:D002349","r'\bcarpal tunnel compression neuropathy\b', r'\bcarpal tunnel entrapment neuropathy\b', r'\bcarpal tunnel median neuropathy\b', r'\bcarpal tunnel syndrome\b', r'\bcarpal tunnel syndromes\b'","Carpal Tunnel Syndrome","MESH:D002349","Musculoskeletal","High","carpal_tunnel","Carpal tunnel syndrome","Carpal Tunnel Syndrome","Carpal Tunnel Syndrome"
"79","MESH:D002386","r'\bmembranous cataract\b', r'\bmembranous cataracts\b', r'\blens opacities\b', r'\blens opacity\b', r'\bcataracts\b', r'\bpseudoaphakia\b', r'\bpseudoaphakias\b', r'\bcataract\b'","Cataract","MESH:D002386","Eye","High","cataract","Cataract","Cataract","Cataract"
"555","MESH:D058442","r'\bsecondary cataract\b', r'\bsecondary cataracts\b', r'\bcapsule opacification\b', r'\bcapsule opacifications\b'","Cataract","MESH:D002386","Eye","High","cataract","Cataract","Cataract","Capsule Opacification"
"86","MESH:D002761","r'\bcholangitides\b', r'\bcholangitis\b'","Cholangitis","MESH:D002761","Digestive","High","cholangitis","Cholangitis","Cholangitis","Cholangitis"
"378","MESH:D015209","r'\bsclerosing cholangiitides\b', r'\bsclerosing cholangiitis\b', r'\bprimary sclerosing cholangitides\b', r'\bsclerosing cholangitides\b', r'\bprimary sclerosing cholangitis\b', r'\bsclerosing cholangitis\b'","Cholangitis","MESH:D002761","Digestive","High","cholangitis","Cholangitis","Cholangitis","Cholangitis, Sclerosing"
"87","MESH:D002764","r'\bgallbladder empyema\b', r'\bgall bladder empyema\b', r'\bgallbladder inflammation\b', r'\bcholecystitis\b'","Cholecystitis","MESH:D002764","Digestive","High","cholecystitis","Cholecystitis","Cholecystitis","Cholecystitis"
"507","MESH:D042101","r'\bacalculous cholecystitis\b', r'\bacalculous gallbladder inflammation\b'","Cholecystitis","MESH:D002764","Digestive","High","cholecystitis","Cholecystitis","Cholecystitis","Acalculous Cholecystitis"
"88","MESH:D002769","r'\bcholelithiases\b', r'\bcholelithiasis\b'","Cholelithiasis","MESH:D002769","Digestive","High","cholelithiasis","Cholelithiasis","Cholelithiasis","Cholelithiasis"
"506","MESH:D041761","r'\bcholecystolithiasis\b'","Cholelithiasis","MESH:D002769","Digestive","High","cholelithiasis","Cholelithiasis","Cholelithiasis","Cholecystolithiasis"
"508","MESH:D042882","r'\bcommon bile duct biliary calculi\b', r'\bbiliary calculi\b', r'\bcommon bile duct gallstones\b', r'\bcommon bile duct gall stones\b', r'\bcommon bile duct calculi\b', r'\bgallstone\b', r'\bgall stone\b', r'\bgall stones\b', r'\bgallstones\b'","Cholelithiasis","MESH:D002769","Digestive","High","cholelithiasis","Cholelithiasis","Cholelithiasis","Gallstones"
"509","MESH:D042883","r'\bcommon bile duct cholelithiasis\b', r'\bcholedocholithiasis\b'","Cholelithiasis","MESH:D002769","Digestive","High","cholelithiasis","Cholelithiasis","Cholelithiasis","Choledocholithiasis"
"206","MESH:D007676","r'\bend stage kidney disease\b', r'\bend stage renal disease\b', r'\bchronic renal failure\b', r'\bend stage renal failure\b', r'\bchronic kidney failure\b'","Chronic Kidney Disease","MESH:D051436","Genitourinary","High","ckd","Chronic Kidney Disease","Renal Insufficiency, Chronic","Kidney Failure, Chronic"
"522","MESH:D051436","r'\bchronic kidney disease\b', r'\bchronic renal disease\b', r'\bchronic kidney diseases\b', r'\bchronic renal diseases\b', r'\bchronic kidney insufficiencies\b', r'\bchronic kidney insufficiency\b', r'\bchronic renal insufficiencies\b', r'\bchronic renal insufficiency\b'","Chronic Kidney Disease","MESH:D051436","Genitourinary","High","ckd","Chronic Kidney Disease","Renal Insufficiency, Chronic","Renal Insufficiency, Chronic"
"297","MESH:D011656","r'\bcentriacinar emphysema\b', r'\bcentrilobular emphysema\b', r'\bfocal emphysema\b', r'\bpanacinar emphysema\b', r'\bpanlobular emphysema\b', r'\bpulmonary emphysema\b', r'\bcentriacinar emphysemas\b', r'\bcentrilobular emphysemas\b', r'\bfocal emphysemas\b', r'\bpanacinar emphysemas\b', r'\bpanlobular emphysemas\b', r'\bpulmonary emphysemas\b'","Chronic Obstructive Pulmonary Disease","MESH:D029424","Respiratory","High","copd","Chronic Obstructive Pulmonary Disease","Pulmonary Disease, Chronic Obstructive","Pulmonary Emphysema"
"502","MESH:D029424","r'\bchronic airflow obstruction\b', r'\bchronic airflow obstructions\b', r'\bsevere early onset copd\b', r'\bchronic obstructive pulmonary disease\b', r'\bchronic obstructive airway disease\b', r'\bchronic obstructive lung disease\b'","Chronic Obstructive Pulmonary Disease","MESH:D029424","Respiratory","High","copd","Chronic Obstructive Pulmonary Disease","Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive"
"503","MESH:D029481","r'\bchronic bronchitis\b'","Chronic Obstructive Pulmonary Disease","MESH:D029424","Respiratory","High","copd","Chronic Obstructive Pulmonary Disease","Pulmonary Disease, Chronic Obstructive","Bronchitis, Chronic"
"219","MESH:D008103","r'\bhepatic cirrhoses\b', r'\bliver cirrhoses\b', r'\bhepatic cirrhosis\b', r'\bliver cirrhosis\b', r'\bliver fibroses\b', r'\bliver fibrosis\b'","Cirrhosis","MESH:D008103","Digestive","High","cirrhosis","Cirrhosis","Liver Cirrhosis","Liver Cirrhosis"
"220","MESH:D008105","r'\bsecondary biliary cholangitis\b', r'\bprimary biliary cirrhosis\b', r'\bsecondary biliary cirrhosis\b', r'\bprimary billiary cholangitis\b', r'\bchronic nonsuppurative destructive cholangitis\b', r'\bbiliary cirrhosis\b', r'\bbiliary liver cirrhoses\b', r'\bobstructive liver cirrhosis\b', r'\bbiliary liver cirrhosis\b', r'\bprimary billiary cholangitides\b', r'\bsecondary biliary cholangitides\b'","Cirrhosis","MESH:D008103","Digestive","High","cirrhosis","Cirrhosis","Liver Cirrhosis","Liver Cirrhosis, Biliary"
"96","MESH:D003324","r'\bcoronary arterioscleroses\b', r'\bcoronary arteriosclerosis\b', r'\bcoronary artery disease\b', r'\bcoronary artery diseases\b', r'\bcoronary atheroscleroses\b', r'\bcoronary atherosclerosis\b'","Coronary Heart Disease","MESH:D003324","Cardiovascular","High","chd_nos","Coronary heart disease not otherwise specified","Coronary Artery Disease","Coronary Artery Disease"
"97","MESH:D003638","r'\bacquired deafness\b', r'\bbilateral deafness\b', r'\bprelingual deafness\b', r'\bcomplete hearing loss\b', r'\bextreme hearing loss\b', r'\bdeaf mutism\b', r'\bdeafness\b'","Deafness","MESH:D003638","Ear","High","deaf","Deafness","Deafness","Deafness"
"98","MESH:D003693","r'\bsubacute deliriums\b', r'\bsubacute delirium\b', r'\bdelirium of mixed origin\b', r'\bmixed origin delirium\b', r'\bmixed origin deliriums\b', r'\bdelirium\b'","Delirium","MESH:D003693","Psychiatric","High","delirium","Delirium","Delirium","Delirium"
"21","MESH:D000544","r'\bearly onset alzheimer disease\b', r'\bfamilial alzheimer disease\b', r'\blate onset alzheimer disease\b', r'\bprotection against alzheimer disease\b', r'\bfamilial alzheimer diseases\b', r'\bfocal onset alzheimers disease\b', r'\balzheimer dementia\b', r'\balzheimer type dementia\b', r'\bpresenile dementia\b', r'\bprimary senile degenerative dementia\b', r'\balzheimer dementias\b', r'\bsenile dementia\b', r'\balzheimer sclerosis\b', r'\bacute confusional senile dementia\b', r'\balzheimer type senile dementia\b', r'\balzheimers disease\b', r'\balzheimer syndrome\b', r'\bpresenile alzheimer dementia\b', r'\balzheimer disease\b'","Dementia","MESH:D003704","Psychiatric","High","dementia","Dementia","Dementia","Alzheimer Disease"
"99","MESH:D003704","r'\bfamilial dementia\b', r'\bfamilial dementias\b', r'\bsenile paranoid dementias\b', r'\bsenile paranoid dementia\b', r'\bamentia\b', r'\bamentias\b', r'\bdementias\b', r'\bdementia\b'","Dementia","MESH:D003704","Psychiatric","High","dementia","Dementia","Dementia","Dementia"
"374","MESH:D015140","r'\bsubcortical arteriosclerotic encephalopathies\b', r'\bsubcortical arteriosclerotic encephalopathy\b', r'\barteriosclerotic dementia\b', r'\barteriosclerotic dementias\b', r'\bsubcortical vascular dementias\b', r'\bsubcortical vascular dementia\b', r'\bvascular dementias\b', r'\bbinswanger disease\b', r'\bbinswangers disease\b', r'\bbinswanger encephalopathy\b', r'\bbinswangers encephalopathy\b', r'\bchronic progressive subcortical encephalopathy\b', r'\bsubcortical leukoencephalopathies\b', r'\bsubcortical leukoencephalopathy\b', r'\bacute onset vascular dementia\b', r'\bvascular dementia\b'","Dementia","MESH:D003704","Psychiatric","High","dementia","Dementia","Dementia","Dementia, Vascular"
"375","MESH:D015161","r'\blacunar dementia\b', r'\bmultiinfarct dementia\b', r'\bmulti infarct dementia\b', r'\blacunar dementias\b', r'\bmultiinfarct dementias\b', r'\bmulti infarct dementias\b', r'\bdementia multi infarct\b', r'\bdementia multi infarcts\b'","Dementia","MESH:D003704","Psychiatric","High","dementia","Dementia","Dementia","Dementia, Multi-Infarct"
"100","MESH:D003872","r'\bdermatitides\b', r'\bdermatitis\b'","Dermatitis","MESH:D003872","Skin","High","dermatitis","Dermatitis (atopic/contact/other/unspecified)","Dermatitis","Dermatitis"
"101","MESH:D003873","r'\bexfoliative dermatitides\b', r'\bexfoliative dermatitis\b', r'\bdermatitis exfoliativa\b', r'\berythroderma\b', r'\berythrodermas\b'","Dermatitis","MESH:D003872","Skin","High","dermatitis","Dermatitis (atopic/contact/other/unspecified)","Dermatitis","Dermatitis, Exfoliative"
